step,objective,profit,daily,min_slice_daily,trades,trades_per_day,min_slice_trades_per_day,max_dd,positive_slices,added
1,0.20609457702760497,0.02028074436260585,2.253429317056188e-05,4.864580617258696e-05,9,0.010101010101010102,0.031088082901554404,0.0006249999999999867,3,"XTZ|vwap_stretch_reversion|long|market_chop|8|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
2,0.21444452768683767,0.05555395724744505,6.068164698547207e-05,4.522387657446281e-05,33,0.037037037037037035,0.04580152671755725,0.0063342826280115005,3,"APT|vwap_stretch_reversion|long|market_aligned|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
3,0.2333605745184179,0.07431522129951618,7.921137480604301e-05,7.856556035634732e-05,60,0.06629834254143646,0.05322128851540616,0.010683712373610321,3,"APT|vwap_stretch_reversion|long|market_chop|8|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=2.4"
4,0.24932501760014608,0.0966005486671273,0.00010190020177391901,9.029124405190991e-05,76,0.08397790055248619,0.07246376811594203,0.009656364444675436,3,"ETC|vwap_stretch_reversion|long|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
5,0.2643173607896798,0.1117482676026551,0.00010315409523276031,0.00011709821180838631,111,0.10808179162609542,0.10144927536231885,0.011945008829226,3,"SOL|vwap_stretch_reversion|long|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
6,0.281719418459996,0.1400905129766734,0.00012766896359672764,0.00013716528223861602,143,0.13924050632911392,0.11538461538461539,0.01404312966719723,3,"DOGE|vwap_stretch_reversion|short|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
7,0.2904811608481783,0.15600528935294866,0.00013940427914715947,0.00015290221034724993,163,0.15673076923076923,0.1282051282051282,0.01759126779913389,3,"ETC|vwap_stretch_reversion|long|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=2.4"
