rank,scope,template,side,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
69,BTC,vwap_reclaim,short,12,4.0,0.0,0.0,306,0.281508739650414,-0.5045843362126092,-0.0006459349408468595,-0.0022325588127874996,0.3,1,0.4117647058823529,0.8500202607696592,0.5530111844316826,-0.2973748562902929,-0.0009798855791837147,0.30277777777777776,0.07555171024536911,0.0002081180785937775,0.3,-0.27680973407049725,-0.0022325588127874996,0.36551724137931035,-1.8349179620741582,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
70,BNB,vwap_reclaim,short,12,4.0,0.0,0.0,168,0.16766467065868262,-0.2948435414656482,-0.00034857752992956126,-0.0024048932837362758,0.18840579710144928,1,0.4107142857142857,0.9239238665076107,0.5113472945959352,0.1341820449894131,0.00034981596556682426,0.20833333333333334,-0.3527403059212506,-0.00126009724504772,0.18840579710144928,-0.08081938250624099,-0.0024048932837362758,0.3142857142857143,-1.8383716085736808,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
71,TRX,wick_reversal,long,12,4.0,0.0,0.0,168,0.15426997245179064,-0.5479258142190857,-0.0007287600230203584,-0.0012816711048072582,0.07692307692307693,0,0.5119047619047619,0.7669520795216337,0.5711059083541601,-0.28475133475073766,-0.0009409194540080934,0.22752808988764045,-0.33661370224621534,-0.0012816711048072582,0.203125,-0.008106786909942154,-0.0001252202452357576,0.07692307692307693,-1.8438985695691996,"atr_ceiling=0.02,atr_floor=0.002,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
72,BTC,wick_reversal,long,24,4.0,0.0,0.0,127,0.13539445628997868,-0.30998956807709566,-0.0003954959315994877,-0.001967380287675957,0.10658307210031348,0,0.5196850393700787,0.9291549044851257,0.5132494250648663,-0.2824194776846115,-0.0009450520497020776,0.2022792022792023,-0.06992939852995106,-0.00022723054335727078,0.10658307210031348,-0.07938316532994527,-0.001967380287675957,0.23809523809523808,-1.8797952141578222,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
73,TRX,wick_reversal,short,24,4.0,0.0,0.0,115,0.12806236080178174,-0.5695615891640262,-0.0009382578118558582,-0.0012740189965125825,0.14080459770114942,0,0.40869565217391307,0.712927708996808,0.5827218175083042,-0.3128541389168684,-0.0010776048667335836,0.14080459770114942,-0.3341368888129804,-0.0012740189965125825,0.15673981191222572,0.0,0.0,0.0,-1.8907477310705587,"atr_ceiling=0.02,atr_floor=0.002,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
74,XRP,vwap_reclaim,short,6,4.0,0.0,0.0,437,0.40575673166202414,-0.6877553570569669,-0.0010801666975924773,-0.001044900225244949,0.38028169014084506,0,0.4279176201372998,0.7816539890733429,0.7251865167540337,-0.23396989042709082,-0.0007505176642210731,0.38028169014084506,-0.31220871509347203,-0.001044900225244949,0.46368715083798884,-0.05304940976013972,-0.00040368414350522297,0.45925925925925926,-1.9238446246431482,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
75,ETC,wick_reversal,short,6,4.0,0.0,0.0,259,0.24433962264150944,-0.5628467135968136,-0.0007803287582363039,-0.0013566454832695252,0.22662889518413598,0,0.49034749034749037,0.8125418709362585,0.6725120483083544,-0.1410808146997472,-0.00043072998936222184,0.32294617563739375,-0.3184957829234363,-0.0010856788921220772,0.22662889518413598,-0.1549320607918585,-0.0013566454832695252,0.23387096774193547,-1.9465615379148007,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
76,BNB,vwap_reclaim,short,12,4.0,0.0,0.0,315,0.293569431500466,-0.513495294709159,-0.0006712645411444118,-0.0018298314136472316,0.18796992481203006,1,0.39365079365079364,0.8601109493606115,0.6518524241519914,0.11350989259895328,0.0002954202541078921,0.3516483516483517,-0.4684032799261395,-0.0018298314136472316,0.3333333333333333,-0.10702024746760574,-0.00085070089525352,0.18796992481203006,-1.9707780274187012,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
77,TRX,vwap_reclaim,long,12,4.0,0.0,0.0,136,0.125,-0.6563251662573815,-0.0009811904860630438,-0.001527677648417658,0.061068702290076333,1,0.4411764705882353,0.3989422137679331,0.668874111051805,-0.42150580912435964,-0.001527677648417658,0.1424581005586592,-0.35333413466058927,-0.001320114410929829,0.16363636363636364,0.004672263422550893,3.5583703922315024e-05,0.061068702290076333,-1.9865196584720726,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
78,XTZ,wick_reversal,long,3,4.0,0.0,0.0,269,0.2481549815498155,-0.6816872555935666,-0.0010554582081701014,-0.001158102925100546,0.10218978102189781,0,0.4795539033457249,0.6984913978831849,0.6920974806659952,-0.3336510429502362,-0.001114603055217045,0.36538461538461536,-0.3287531133487147,-0.001158102925100546,0.23546511627906977,-0.10987438239581293,-0.0008492208342825158,0.10218978102189781,-2.029951631993061,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
