rule,removed,2024_delta,2024_removed,2025_delta,2025_removed,2026_delta,2026_removed,sum_delta
bb_width <= 0.008,33,-283.79825699999947,7,-375.88196144999984,19,-329.6761903099998,7,-989.3564087599991
bb_width <= 0.008 AND rsi_fast >= 50,33,-283.79825699999947,7,-375.88196144999984,19,-329.6761903099998,7,-989.3564087599991
bb_width <= 0.008 AND rsi_fast >= 55,33,-283.79825699999947,7,-375.88196144999984,19,-329.6761903099998,7,-989.3564087599991
bb_width <= 0.008 AND rsi_fast >= 60,33,-283.79825699999947,7,-375.88196144999984,19,-329.6761903099998,7,-989.3564087599991
bb_width <= 0.008 AND rsi_fast >= 65,33,-283.79825699999947,7,-375.88196144999984,19,-329.6761903099998,7,-989.3564087599991
bb_width <= 0.008 AND rsi_fast >= 70,33,-283.79825699999947,7,-375.88196144999984,19,-329.6761903099998,7,-989.3564087599991
btc_roc_24 >= 0.01,18,40.0560025499999,9,-311.76673040000014,4,-734.2405409500002,5,-1005.9512688000004
vwap_96_dist <= -0.01,12,-404.1873535,6,-626.05549225,6,0.0,0,-1030.24284575
bb_width >= 0.03,7,321.2670584000002,4,-1471.3272116,3,0.0,0,-1150.0601531999998
btc_bb_width <= 0.006,75,-949.1126738500004,22,-1427.7875803999998,39,1176.29767889,14,-1200.6025753600002
btc_bb_width <= 0.006 AND rsi_fast >= 50,75,-949.1126738500004,22,-1427.7875803999998,39,1176.29767889,14,-1200.6025753600002
btc_bb_width <= 0.006 AND rsi_fast >= 55,75,-949.1126738500004,22,-1427.7875803999998,39,1176.29767889,14,-1200.6025753600002
btc_bb_width <= 0.006 AND rsi_fast >= 60,75,-949.1126738500004,22,-1427.7875803999998,39,1176.29767889,14,-1200.6025753600002
btc_bb_width <= 0.006 AND rsi_fast >= 65,75,-949.1126738500004,22,-1427.7875803999998,39,1176.29767889,14,-1200.6025753600002
btc_bb_width <= 0.006 AND rsi_fast >= 70,75,-949.1126738500004,22,-1427.7875803999998,39,1176.29767889,14,-1200.6025753600002
roc_48 >= -0.01 AND btc_ema_50_slope >= 0,45,-163.30658829999993,12,-446.8564016,23,-598.18380753,10,-1208.34679743
dist_ema50 >= 0.01,11,129.71616434999987,5,-1191.3079741000001,5,-251.78225700000007,1,-1313.3740667500003
roc_48 >= 0.01 AND btc_ema_50_slope >= 0,8,-441.9064799500002,3,-809.2042594499999,4,-155.01447650000023,1,-1406.1252159000003
vwap_96_dist >= 0.01,11,-338.77473504999944,6,-1191.3079741000001,5,0.0,0,-1530.0827091499996
ema_50_slope >= 0.0,12,-1907.0953285,4,-27.70707260000063,6,315.6027742499998,2,-1619.1996268500009
roc_48 >= 0.01 AND btc_roc_48 >= 0,13,-656.2557422000002,5,-918.96636855,6,-64.18269529999998,2,-1639.4048060500002
vwap_96_dist >= 0.02,4,-1210.9845257000004,2,-690.2659741500001,2,0.0,0,-1901.2504998500006
btc_roc_48 >= 0.0,85,-1797.4061495499998,25,-1163.1020821,45,937.0334181800001,15,-2023.4748134699996
roc_48 >= 0.02,5,-1337.9931254500004,2,-709.2717954,3,0.0,0,-2047.2649208500004
roc_48 >= 0.02 AND btc_roc_48 >= -0.01,5,-1337.9931254500004,2,-709.2717954,3,0.0,0,-2047.2649208500004
roc_48 >= 0.02 AND btc_ema_50_slope >= -0.01,5,-1337.9931254500004,2,-709.2717954,3,0.0,0,-2047.2649208500004
roc_48 <= -0.01,24,-123.60507959999995,14,-1793.4475560499998,6,-232.7404163000001,4,-2149.7930519499996
mfi <= 70,50,-12.714196099999754,18,-2572.66210835,25,20.918020750000096,7,-2564.4582837
