window,strategy,period_start,period_end,days,starting_balance,stake_amount,max_open_trades,pair,base,trades,profit_abs,profit_pct_of_starting_balance,avg_trade_profit_pct,wins,losses,winrate_pct,profit_factor,max_drawdown_abs,max_drawdown_pct
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,AAVE/USDT:USDT,AAVE,19,149.59349105000004,1.4959349105000004,0.15740321368115,11,8,57.89473684210527,1.0651880683201187,1579.1057971999999,15.791057972
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,APT/USDT:USDT,APT,2,-124.28340525000002,-1.2428340525000001,-1.242225039959049,0,2,0.0,0.0,124.28340525000002,1.2428340525000021
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,AVAX/USDT:USDT,AVAX,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,BCH/USDT:USDT,BCH,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,BNB/USDT:USDT,BNB,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,BTC/USDT:USDT,BTC,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,COMP/USDT:USDT,COMP,1,-53.89775752,-0.5389775752,-1.0774167179975904,0,1,0.0,0.0,53.89775752,0.538977575200006
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,DOGE/USDT:USDT,DOGE,11,554.3779725799999,5.543779725799999,1.0083638793987337,5,6,45.45454545454545,1.9548870657562591,372.71232596000004,3.652540324339072
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,ETC/USDT:USDT,ETC,5,304.0753395,3.040753395,1.215699957975994,2,3,40.0,3.334373688614793,130.2599241,1.281364860160305
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,ETH/USDT:USDT,ETH,6,147.1040986,1.471040986,0.49007361987241094,2,4,33.33333333333333,1.4023257455106506,233.93503654,2.2866494407713733
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,LINK/USDT:USDT,LINK,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,LTC/USDT:USDT,LTC,33,-183.61722984,-1.8361722984,-0.11076538345743761,13,20,39.39393939393939,0.9267980343898502,1039.44214069,9.574971494346004
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,2023-06-03 01:00:00,2024-01-01 00:00:00,211,10000.0,5000.0,8,MKR/USDT:USDT,MKR,134,293.02608169999985,2.9302608169999984,0.04356374871114241,55,79,41.04477611940299,1.0250871456319393,3090.73214165,23.09315582418209
