rank,template,side,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
12,vwap_reclaim,long,6,4.0,0.0,0.0,10768,9.842778793418647,-1.0,-0.012549033324075198,-0.03724344658460743,8.893333333333333,0,0.40536775631500743,0.613138033024858,1.0,-0.9999999999991491,-0.03714332867924497,10.838356164383562,-0.9999996250413011,-0.03724344658460743,9.840659340659341,-0.9965803843282285,-0.03714730868581295,8.893333333333333,-18.80137010119918,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
13,wick_reversal,long,3,4.0,0.0,0.0,16911,15.457952468007313,-1.0,-0.012549033324075198,-0.03724344658460743,11.8,0,0.43817633492992725,0.6381039801111658,1.0,-0.999999999999438,-0.03714332867924497,17.90958904109589,-0.9999999994425044,-0.03724344658460743,15.42032967032967,-0.9656769758060376,-0.0222288092470605,11.8,-18.801370101199367,"atr_ceiling=0.02,atr_floor=0.002,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
14,wick_reversal,short,6,4.0,0.0,0.0,13340,12.193784277879342,-1.0,-0.012549033324075198,-0.03724344658460743,10.12,0,0.441904047976012,0.6585792287875109,1.0,-0.999999999802138,-0.03714332867924497,12.4,-0.9999999999995566,-0.03724344658460743,13.714285714285714,-0.990166788954667,-0.030343374937259027,10.12,-18.801370101199442,"atr_ceiling=0.02,atr_floor=0.002,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
15,wick_reversal,long,24,4.0,0.0,0.0,16910,15.457038391224863,-1.0,-0.012549033324075198,-0.03724344658460743,11.793333333333333,0,0.49254878769958604,0.871989396819277,1.0,-0.9999999999997877,-0.03714332867924497,17.90958904109589,-1.0,-0.03724344658460743,15.42032967032967,-0.9961013010217634,-0.036305312915439925,11.793333333333333,-18.80137010119973,"atr_ceiling=0.02,atr_floor=0.002,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
16,wick_reversal,long,24,4.0,0.0,0.0,8897,8.132541133455211,-1.0,-0.012549033324075198,-0.03724344658460743,4.38,0,0.5105091603911431,0.9399615799341656,1.0,-0.9997910778947328,-0.022947803370253705,10.257534246575343,-1.0,-0.03724344658460743,8.324175824175825,-0.9572186141675473,-0.02079182102054633,4.38,-18.80137010119973,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
17,squeeze_breakout,short,24,4.0,0.0,0.0,19358,17.694698354661792,-1.0,-0.012549033324075198,-0.03724344658460743,13.16,0,0.4408513276164893,0.8788261605286624,1.0,-1.0,-0.03714332867924497,19.84109589041096,-0.9999995984479778,-0.03724344658460743,20.425824175824175,-0.9901408861629025,-0.03032636861726179,13.16,-18.80137010119973,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
18,wick_reversal,short,24,4.0,0.0,0.0,13340,12.193784277879342,-1.0,-0.012549033324075198,-0.03724344658460743,10.12,0,0.49137931034482757,0.8351675287641079,1.0,-0.9999999889315107,-0.03714332867924497,12.4,-1.0,-0.03724344658460743,13.714285714285714,-0.9896771402449073,-0.03002918573932467,10.12,-18.80137010119973,"atr_ceiling=0.02,atr_floor=0.002,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
19,vwap_reclaim,short,6,4.0,0.0,0.0,10067,9.21043000914913,-1.0,-0.012560442190240106,-0.03724344658460743,7.993333333333333,0,0.4257474918049071,0.7204461900468561,1.0,-0.999999470143006,-0.03714332867924497,10.136986301369863,-0.9999996694686307,-0.03724344658460743,9.788461538461538,-0.9376159182917215,-0.01832629411867337,7.993333333333333,-18.804564368880513,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
20,vwap_reclaim,short,3,4.0,0.0,0.0,10067,9.21043000914913,-1.0,-0.012560442190240106,-0.03724344658460743,7.993333333333333,0,0.38313300884076684,0.5519932188371758,1.0,-0.9999999795674176,-0.03714332867924497,10.136986301369863,-0.9999999820117269,-0.03724344658460743,9.788461538461538,-0.9794067523862315,-0.025553128535199532,7.993333333333333,-18.804564572033527,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
21,vwap_reclaim,short,3,4.0,0.0,0.0,7510,6.877289377289378,-0.9999999999999994,-0.012571871819585523,-0.03734410560731538,5.406666666666666,0,0.40173102529960053,0.5880089627554207,0.9999999999999994,-0.9999992612515121,-0.03714332867924497,7.906849315068493,-0.9999993769323597,-0.03734410560731538,7.707988980716253,-0.9290497298658742,-0.017483859240750355,5.406666666666666,-18.860842382464174,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
