date,profit,exit_reason,raw_profit,candidate_id,pair,template,side,regime,hold,tp,sl,candidate_key
2024-12-23 04:44:00+00:00,0.0010745241332426468,fixed_hold,0.008596193065941175,1m:ETC:ma_offset_reversion:long:market_chop:h18:tp0.0:sl0.0:8e314e8647,ETC,ma_offset_reversion,long,market_chop,18,0.0,0.0,"ETC|ma_offset_reversion|long|market_chop|18|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2024-12-23 04:44:00+00:00,0.0026965769639578784,fixed_hold,0.021572615711663027,1m:LTC:ma_offset_reversion:long:market_chop:h12:tp0.0:sl0.0:6a49d5d264,LTC,ma_offset_reversion,long,market_chop,12,0.0,0.0,"LTC|ma_offset_reversion|long|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2024-12-23 09:23:00+00:00,0.001418782359887336,fixed_hold,0.011350258879098688,1m:XRP:ma_offset_reversion:long:market_aligned:h18:tp0.0:sl0.0:28df47896b,XRP,ma_offset_reversion,long,market_aligned,18,0.0,0.0,"XRP|ma_offset_reversion|long|market_aligned|18|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.002,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=14,slope_guard=0.003,volume_mult=0.7"
2024-12-23 17:47:00+00:00,0.0001009001161440126,fixed_hold,0.0008072009291521009,1m:OP:ma_offset_reversion:long:market_contra:h12:tp0.0:sl0.0:764d46ed63,OP,ma_offset_reversion,long,market_contra,12,0.0,0.0,"OP|ma_offset_reversion|long|market_contra|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2024-12-24 18:09:00+00:00,-0.001254313097080045,fixed_hold,-0.01003450477664036,1m:XLM:ma_offset_reversion:long:market_aligned:h12:tp0.0:sl0.0:c967453033,XLM,ma_offset_reversion,long,market_aligned,12,0.0,0.0,"XLM|ma_offset_reversion|long|market_aligned|12|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.002,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2024-12-25 13:22:00+00:00,-0.002170016913869282,fixed_hold,-0.017360135310954258,1m:XLM:ma_offset_reversion:long:market_aligned:h12:tp0.0:sl0.0:c967453033,XLM,ma_offset_reversion,long,market_aligned,12,0.0,0.0,"XLM|ma_offset_reversion|long|market_aligned|12|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.002,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2024-12-25 20:43:00+00:00,-0.002318944182250065,fixed_hold,-0.01855155345800052,1m:APT:vwap_stretch_reversion:long:market_chop:h12:tp0.0:sl0.0:e2e5fa91a1,APT,vwap_stretch_reversion,long,market_chop,12,0.0,0.0,"APT|vwap_stretch_reversion|long|market_chop|12|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=2.4"
2024-12-26 23:06:00+00:00,-0.0009325182050778225,fixed_hold,-0.00746014564062258,1m:LTC:ma_offset_reversion:long:market_contra:h3:tp0.0:sl0.0:b59bbcfd6a,LTC,ma_offset_reversion,long,market_contra,3,0.0,0.0,"LTC|ma_offset_reversion|long|market_contra|3|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2024-12-27 13:38:00+00:00,-0.0029442324003393218,fixed_hold,-0.023553859202714574,1m:OP:ma_offset_reversion:long:market_contra:h12:tp0.0:sl0.0:764d46ed63,OP,ma_offset_reversion,long,market_contra,12,0.0,0.0,"OP|ma_offset_reversion|long|market_contra|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
2024-12-28 02:51:00+00:00,0.0019299136098544644,fixed_hold,0.015439308878835715,1m:OP:ma_offset_reversion:long:market_contra:h12:tp0.0:sl0.0:764d46ed63,OP,ma_offset_reversion,long,market_contra,12,0.0,0.0,"OP|ma_offset_reversion|long|market_contra|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,ema20_offset=0.0035,ema50_guard=0.02,macro_limit=0.055,range_mult=0.6,rsi_2=10,slope_guard=0.003,volume_mult=0.7"
