window,open_dt,profit_abs,profit_ratio,roc_12,roc_24,roc_48,ema_20_slope,ema_50_slope,dist_ema50,vwap_96_dist,vwap_96_z,atr_pct,bb_width,rsi,rsi_fast,mfi,cci,stoch_k,btc_roc_12,btc_roc_24,btc_roc_48,btc_ema_20_slope,btc_ema_50_slope,btc_atr_pct,btc_bb_width,btc_rsi
2024,2024-01-02 22:16:00,-132.310048,-0.026475351801251417,0.009442870632672351,-0.004655493482309203,-0.0018674136321195078,0.0004297754111020069,-0.004921775485252744,0.003468490439190841,-0.004310377663591325,1.9314934934585952,0.0036219974236463707,0.012876709935545237,64.15663513378941,93.42264918028478,79.4151825871728,140.06179196704338,88.23529411764699,0.005749799179808113,0.0014579035878163893,0.0033029746749744238,0.002094178587970452,-0.0020224380078870396,0.0027899485714901607,0.012959085115693242,60.9626745504107
2024,2024-01-03 16:06:00,-141.887846,-0.02839186090507182,0.02180685358255463,0.02393340270551514,-0.027667984189723382,0.010391128697251562,-0.02741305905008251,0.0017257065813744976,-0.006661443827702507,0.7672692747831156,0.008899914904122355,0.046285671818161116,63.631422920013016,90.31896008503651,87.2254285306254,125.18945134889428,89.74358974358974,0.020614720898249672,0.022676218522293956,0.010982192426299386,0.004446468949310223,-0.012416873464221378,0.00530794454409753,0.025790159005744412,73.40467729374109
2024,2024-01-15 13:41:00,129.82501725,0.02597804725990283,0.011794439764111209,0.00502092050209213,0.02039082412914195,-0.0012554236244765038,0.001072080864848779,0.011399194982867344,0.016129263232402824,-0.03541848271707168,0.006483157507600928,0.02332732405188481,61.00489373146046,88.96585558975752,66.22253691648035,90.30371934383622,88.88888888888889,0.0027123968492122064,0.004287482008307197,0.003091001620547873,0.000778930407882461,0.0006569265822062853,0.0013464802801594956,0.0029000410242810385,60.901464521259705
2024,2024-01-23 22:26:00,-345.1884462,-0.06907245605467956,0.009857612267250904,0.0065502183406114245,0.0,0.002544890923379617,-0.0012821879262754354,0.005520228229116908,0.0016388086291638793,0.44668441236455125,0.0037027414221376576,0.013904126359516373,61.36835882602004,83.37833991393934,67.50991254059286,200.86705202312163,87.5,0.006275739339796305,0.0033910991285486247,-0.0009201800815235028,0.0011826986977805376,0.00010752042532824468,0.0022471491559542564,0.008333740798396437,62.44359402048831
2024,2024-01-26 02:16:00,-191.3911816,-0.03829752135168227,0.0075593952483801186,0.006472491909385036,-0.0032051282051281937,0.0005876682419265755,-0.0030822536995649408,0.002337207159773369,0.0013155227478753861,-0.5172532971420426,0.003224925382563417,0.0069767474454604924,58.50575177002685,80.17451624267797,68.82255779668552,138.314785373603,81.81818181818181,0.004916662692845408,0.0034861369041800927,0.0030286253948610398,0.0009956584565420368,0.00025781862781215636,0.0011425433053657299,0.00530208099097796,67.44569961641481
2024,2024-02-20 19:41:00,-390.2109183,-0.0780815939884836,0.00933706816059754,0.015023474178403662,0.002782931354359919,0.0016262253062866439,-0.009453731664854303,0.0039041285354097788,-0.010138662001886178,0.032215210535886975,0.0040032578775365075,0.014764984979785931,65.68574741537762,93.46340609726653,65.8628028748579,263.81255423777924,89.47368421052626,0.008606591645811346,0.01449125126644435,0.005604972547073261,0.003854907743729097,-0.0021284888871810903,0.0020797879738869403,0.011809484040860609,72.43931608166075
2024,2024-04-01 19:21:00,-289.7963328,-0.05798854483421486,0.00831443688586564,0.005275056518462717,0.003007518796992459,0.002092693319717842,-0.004923893210463159,0.003254495784997591,-0.0021874206122145523,0.6645350699094398,0.003996418568206462,0.01186491979134377,60.74959459868586,81.60431555564607,74.56263286983469,184.7566574839297,90.47619047619052,0.008659104866853617,0.009637683692852894,0.009949581791157902,0.004103233626640224,-0.000997082874609978,0.002084976429593954,0.012646877996600192,71.90251249804163
2024,2024-04-05 08:26:00,461.3926912,0.09232523238363369,0.009716599190283448,0.0056451612903227755,-0.0023999999999999577,0.0018376233672050546,-0.0034264298036782437,0.004999914119480309,0.001404121513183032,1.3281261287353714,0.003044578922943604,0.011318309724562695,65.07739412818886,91.97038109194519,81.7393230696325,249.83734547820285,86.66666666666677,0.009492589092852333,0.011685434272985296,-0.0026384912962232887,0.0012647983501694604,-0.002901004170670851,0.0022758535679679955,0.00969755077923534,70.66144316840983
2024,2024-04-14 12:51:00,348.0430165,0.06964372796272289,0.013752455795677854,-0.004821600771455992,-0.004821600771455992,-0.0018281707826486304,-0.005094243827777012,0.004556901053433204,0.003852516632478986,-1.4864936889646074,0.006634135114041367,0.017212982635506028,56.84239070689521,79.04457377663564,68.05153315734252,89.381055962033,77.77777777777787,0.008804059328649583,0.002117020847614892,0.001609050365756648,0.0020494547269822583,-0.0007600806562262363,0.002908513300115806,0.012326672855286243,61.562912977750315
2024,2024-05-24 18:11:00,-143.7728005,-0.028769023687101276,0.012526096033403045,0.005181347150259086,0.009365244536940764,0.00042994231422954776,-0.0031547096167201527,0.0067093467774637094,0.006137071388386595,-0.2868504546096696,0.0034056743237342577,0.012585879592877542,68.06314890998871,92.68742962209582,83.86020331342847,128.40746054519187,87.5,0.009284609322553372,0.013259451571501435,0.029754362350152386,0.005915132925488065,0.007127331539537485,0.002079202811869056,0.015537575215415567,82.06202731467125
