rank,template,side,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
1,mean_reversion,long,6,4.0,0.0,0.0,802,0.7351054078826764,-0.9725669326739054,-0.0032906382480072383,-0.0024952561087413505,0.5743243243243243,0,0.4713216957605985,0.8762427646402087,0.9829527623707887,-0.12082536499909935,-0.0003537059104278262,0.8626373626373627,-0.4136427997386515,-0.0014817514494245287,0.6972222222222222,-0.30909947140788674,-0.0024952561087413505,0.5743243243243243,-3.4062031002642823,"atr_floor=0.0045,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
2,mean_reversion,long,6,4.0,0.0,0.0,806,0.7387717690192483,-0.9741512989531501,-0.0033449841690764703,-0.0024952561087413505,0.5743243243243243,0,0.47022332506203474,0.873233065760689,0.9839612009703428,-0.12082536499909902,-0.0003537059104278262,0.8626373626373627,-0.440541181196459,-0.0016119920026804735,0.7027777777777777,-0.30909947140788674,-0.0024952561087413505,0.5743243243243243,-3.440109458943636,"atr_floor=0.0025,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
3,mean_reversion,long,3,4.0,0.0,0.0,802,0.7351054078826764,-0.9871181734742122,-0.0039809985969233574,-0.0035152825914022134,0.5743243243243243,0,0.44139650872817954,0.7421573959040253,0.9867072916848832,-0.6092494195645223,-0.002578225116062094,0.8626373626373627,-0.7185305202870846,-0.0035152825914022134,0.6972222222222222,-0.3237507128832421,-0.00263970916891465,0.5743243243243243,-4.169583711717806,"atr_floor=0.0045,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
4,mean_reversion,long,3,4.0,0.0,0.0,806,0.7387717690192483,-0.9874074361872542,-0.004001732242535749,-0.003548579398339191,0.5743243243243243,0,0.44044665012406947,0.7410287716591903,0.987005780789919,-0.6092494195645217,-0.002578225116062094,0.8626373626373627,-0.7218961279946723,-0.003548579398339191,0.7027777777777777,-0.3237507128832422,-0.00263970916891465,0.5743243243243243,-4.189881743960766,"atr_floor=0.0025,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
5,mean_reversion,long,12,4.0,0.0,0.0,802,0.7351054078826764,-0.8526892574261582,-0.0017539238952145597,-0.006633913964968818,0.5743243243243243,1,0.4837905236907731,1.0576649491699397,0.9821432725240952,-0.33197737812881534,-0.0011077191052544233,0.8626373626373627,0.5398751545779739,0.0011998896942142512,0.6972222222222222,-0.6265945282150325,-0.006633913964968818,0.5743243243243243,-4.403246670925501,"atr_floor=0.0045,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
6,mean_reversion,long,12,4.0,0.0,0.0,806,0.7387717690192483,-0.8622061792253012,-0.0018150298140928722,-0.006633913964968818,0.5743243243243243,1,0.4826302729528536,1.054377059307776,0.9826056769793862,-0.3319773781288132,-0.0011077191052544233,0.8626373626373627,0.49599511662603835,0.0011194917615655609,0.7027777777777777,-0.6265945282150325,-0.006633913964968818,0.5743243243243243,-4.420879338363494,"atr_floor=0.0025,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
7,mean_reversion,long,6,4.0,0.0,0.0,1115,1.0219981668194318,-0.9957174388067789,-0.004985882855581991,-0.004458329863698429,0.831081081081081,0,0.46905829596412557,0.8375589930095545,0.9979924270684017,-0.5156206600396545,-0.001989465963575965,1.1730769230769231,-0.7467703255834698,-0.0038078937318331008,1.0083333333333333,-0.4838243076730565,-0.004458329863698429,0.831081081081081,-4.8186072234568575,"atr_floor=0.0045,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
8,mean_reversion,long,3,4.0,0.0,0.0,1115,1.0219981668194318,-0.9960675122347039,-0.005063655988623905,-0.005068885706388193,0.831081081081081,0,0.44573991031390137,0.7389592934894739,0.9968825112969654,-0.8427261137768072,-0.005068885706388193,1.1730769230769231,-0.8188818321603643,-0.00473488160399016,1.0083333333333333,-0.22982353229059305,-0.001762874116590596,0.831081081081081,-5.121167671688283,"atr_floor=0.0045,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
9,mean_reversion,long,6,4.0,0.0,0.0,1256,1.151237396883593,-0.9979965396599957,-0.005678481046967443,-0.005242358826581084,0.9324324324324325,0,0.4601910828025478,0.8170416896745601,0.9990519706818108,-0.518312340164983,-0.0020047443587035696,1.3076923076923077,-0.8516204554632032,-0.005242358826581084,1.1322314049586777,-0.5034937006106668,-0.004719632152192177,0.9324324324324325,-5.362323569170166,"atr_floor=0.0025,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
10,mean_reversion,long,3,4.0,0.0,0.0,1256,1.151237396883593,-0.9984623773071353,-0.0059196393263915015,-0.006172987742353531,0.9324324324324325,0,0.43471337579617836,0.7089664837867035,0.99870089946565,-0.8714794276164144,-0.005620590896233124,1.3076923076923077,-0.894362234516084,-0.006172987742353531,1.1322314049586777,-0.28963571016105816,-0.002307990297699014,0.9324324324324325,-5.792217614451155,"atr_floor=0.0025,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
