window,strategy,pair,base,trades,profit_abs,profit_pct_of_wallet,avg_profit_pct,wins,losses,winrate_pct,profit_factor
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,21,639.9995096700002,6.399995096700002,0.6092215356921532,10,11,47.61904761904761,1.6275717528517548
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,DOGE/USDT:USDT,DOGE,11,554.3779725799999,5.543779725799999,1.0083638793987337,5,6,45.45454545454545,1.9548870657562591
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,SOL/USDT:USDT,SOL,67,524.0896135000002,5.240896135000002,0.15663664440155523,34,33,50.74626865671642,1.0708033089538322
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,ETC/USDT:USDT,ETC,5,304.0753395,3.040753395,1.215699957975994,2,3,40.0,3.334373688614793
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,134,293.02608169999985,2.9302608169999984,0.04356374871114241,55,79,41.04477611940299,1.0250871456319393
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,XTZ/USDT:USDT,XTZ,31,290.30213580000014,2.9030213580000015,0.18754776639654488,16,15,51.61290322580645,1.17740936686666
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,XLM/USDT:USDT,XLM,17,205.036361,2.05036361,0.24110017616763602,7,10,41.17647058823529,1.2912769166946536
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,AAVE/USDT:USDT,AAVE,19,149.59349105000004,1.4959349105000004,0.15740321368115,11,8,57.89473684210527,1.0651880683201187
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,ETH/USDT:USDT,ETH,6,147.1040986,1.471040986,0.49007361987241094,2,4,33.33333333333333,1.4023257455106506
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,XRP/USDT:USDT,XRP,15,127.16194279999986,1.2716194279999986,0.1697151028654188,7,8,46.666666666666664,1.2061782687923475
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,AVAX/USDT:USDT,AVAX,0,0.0,0.0,0.0,0,0,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,BCH/USDT:USDT,BCH,0,0.0,0.0,0.0,0,0,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,BNB/USDT:USDT,BNB,0,0.0,0.0,0.0,0,0,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,BTC/USDT:USDT,BTC,0,0.0,0.0,0.0,0,0,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,LINK/USDT:USDT,LINK,0,0.0,0.0,0.0,0,0,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,TRX/USDT:USDT,TRX,0,0.0,0.0,0.0,0,0,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,COMP/USDT:USDT,COMP,1,-53.89775752,-0.5389775752,-1.0774167179975904,0,1,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,APT/USDT:USDT,APT,2,-124.28340525000002,-1.2428340525000001,-1.242225039959049,0,2,0.0,0.0
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,33,-183.61722984,-1.8361722984,-0.11076538345743761,13,20,39.39393939393939,0.9267980343898502
2023H2_oos,Intp20Stage12XtzCoreRocFilterStrategy,SUI/USDT:USDT,SUI,34,-1002.8171439599998,-10.0281714396,-0.5895989375973574,15,19,44.11764705882353,0.744981684023335
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,252,5687.744700449999,56.87744700449999,0.45140311175471376,131,121,51.98412698412699,1.26705230431275
2024,Intp20Stage12XtzCoreRocFilterStrategy,SOL/USDT:USDT,SOL,104,5621.8002884,56.21800288399999,1.0821619311289852,58,46,55.769230769230774,1.6525970549747124
2024,Intp20Stage12XtzCoreRocFilterStrategy,XLM/USDT:USDT,XLM,46,5414.99089423,54.149908942299994,2.353180128996939,27,19,58.69565217391305,2.8325113300533773
2024,Intp20Stage12XtzCoreRocFilterStrategy,AAVE/USDT:USDT,AAVE,51,4308.507766899999,43.08507766899999,1.6887922759526017,30,21,58.82352941176471,1.7062902999701828
2024,Intp20Stage12XtzCoreRocFilterStrategy,XTZ/USDT:USDT,XTZ,60,2805.0290376000007,28.05029037600001,0.9355950867062998,27,33,45.0,1.5725157989504934
2024,Intp20Stage12XtzCoreRocFilterStrategy,ETC/USDT:USDT,ETC,37,2356.85193326,23.568519332599998,1.2733422946806896,25,12,67.56756756756756,3.734887399375602
2024,Intp20Stage12XtzCoreRocFilterStrategy,COMP/USDT:USDT,COMP,23,2018.7642000100002,20.187642000100002,1.7545706307727695,16,7,69.56521739130434,1.4578316845970731
2024,Intp20Stage12XtzCoreRocFilterStrategy,SUI/USDT:USDT,SUI,57,1657.8192563600003,16.578192563600002,0.5814037601401227,27,30,47.368421052631575,1.19432667896548
2024,Intp20Stage12XtzCoreRocFilterStrategy,APT/USDT:USDT,APT,23,1205.4531365999997,12.054531365999996,1.0477027568497461,13,10,56.52173913043478,2.2015613015448836
2024,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,92,948.5597333499999,9.485597333499998,0.2062792365775889,45,47,48.91304347826087,1.1500677904265117
2024,Intp20Stage12XtzCoreRocFilterStrategy,XRP/USDT:USDT,XRP,48,801.6750466400002,8.016750466400001,0.3340323294921718,20,28,41.66666666666667,1.2610358999513505
2024,Intp20Stage12XtzCoreRocFilterStrategy,ETH/USDT:USDT,ETH,28,788.4014494300001,7.8840144943000015,0.5628827786514788,11,17,39.285714285714285,1.365721960510493
2024,Intp20Stage12XtzCoreRocFilterStrategy,DOGE/USDT:USDT,DOGE,45,544.18588828,5.4418588828,0.24162342915143922,23,22,51.11111111111111,1.1778409971385806
2024,Intp20Stage12XtzCoreRocFilterStrategy,AVAX/USDT:USDT,AVAX,0,0.0,0.0,0.0,0,0,0.0,0.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,BCH/USDT:USDT,BCH,0,0.0,0.0,0.0,0,0,0.0,0.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,BNB/USDT:USDT,BNB,0,0.0,0.0,0.0,0,0,0.0,0.0
