window,base,rule,template,side,regime,hold_5m,leverage,trades,profit_ratio_sum,profit_pct_sum,avg_trade_pct,wins,losses,winrate_pct,profit_factor
2026_01_05,GALA,GALA:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,18,5.0,49,-0.08386738934572313,-8.386738934572314,-0.1711579374402513,16,33,32.6530612244898,0.8826266996135768
2023H2,GALA,GALA:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,34,-0.4706695812880718,-47.06695812880718,-1.3843222979060936,14,20,41.17647058823529,0.5656637436139177
2024,GALA,GALA:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,50,-0.10253645023033497,-10.253645023033497,-0.20507290046066995,24,26,48.0,0.9364891179357842
2025,GALA,GALA:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,47,-0.15949424083329888,-15.949424083329887,-0.339349448581487,25,22,53.191489361702125,0.8748017584857768
2026_01_05,GALA,GALA:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,18,5.0,28,-0.3688693764412626,-36.88693764412626,-1.3173906301473663,10,18,35.714285714285715,0.5352483625235761
2023H2,GALA,GALA:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,31,0.10903609662364089,10.903609662364088,0.35172934394722866,13,18,41.935483870967744,1.185801798809976
2024,GALA,GALA:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,56,0.6699594361943684,66.99594361943684,1.1963561360613721,31,25,55.35714285714286,1.4671401306065672
2025,GALA,GALA:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,54,0.08520846033594431,8.520846033594431,0.15779344506656354,27,27,50.0,1.080574153314079
2026_01_05,GALA,GALA:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,32,-0.028672374333924,-2.8672374333924,-0.0896011697935125,15,17,46.875,0.9442556592762619
2023H2,GALA,GALA:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,138,0.5064781264525453,50.64781264525453,0.36701313511054007,63,75,45.65217391304348,1.1723283791801924
2024,GALA,GALA:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,306,-0.6431537370486944,-64.31537370486944,-0.21018095981983476,137,169,44.771241830065364,0.9300504762234728
2025,GALA,GALA:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,228,-1.2762002290501413,-127.62002290501412,-0.5597369425658514,91,137,39.91228070175439,0.7589132870814609
2026_01_05,GALA,GALA:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,51,-0.2374125678207446,-23.74125678207446,-0.46551483886420514,16,35,31.372549019607842,0.7817590159099892
2023H2,GALA,GALA:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,24,4.0,141,-1.0786706700027286,-107.86706700027287,-0.7650146595764032,50,91,35.46099290780142,0.662924452011432
2024,GALA,GALA:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,24,4.0,272,-0.5191543736309576,-51.91543736309576,-0.19086557854079325,112,160,41.17647058823529,0.9367567991368123
2025,GALA,GALA:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,24,4.0,244,2.1257776008770715,212.57776008770713,0.8712203282283081,111,133,45.49180327868852,1.3799505649610613
2026_01_05,GALA,GALA:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,24,4.0,87,-0.05354665402604164,-5.354665402604164,-0.06154787819085246,41,46,47.12643678160919,0.9718922268386962
2023H2,GALA,GALA:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,24,4.0,31,0.5528856075571462,55.28856075571462,1.783501959861762,18,13,58.06451612903226,1.9073649990617136
2024,GALA,GALA:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,24,4.0,49,0.7146868527492347,71.46868527492347,1.4585445974474178,26,23,53.06122448979592,2.544111365573946
2025,GALA,GALA:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,24,4.0,62,-0.8491984814795974,-84.91984814795974,-1.3696749701283828,23,39,37.096774193548384,0.4936784115734964
2026_01_05,GALA,GALA:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,24,4.0,13,0.2721308476009341,27.21308476009341,2.0933142123148776,7,6,53.84615384615385,2.9309880498328953
2023H2,GALA,GALA:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,24,4.0,28,0.42906516888918667,42.90651688891867,1.5323756031756666,15,13,53.57142857142857,2.143384569243017
