rank,scope,template,side,regime,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
118,SUI,vwap_stretch_reversion,short,local_chop,8,5.0,0.0,0.0,10,0.018518518518518517,0.053024877736980836,9.568394492398546e-05,-0.0004874513719562712,0.0220125786163522,1,0.5,3.1805876323504996,0.0178861609413683,0.07050481668350117,0.0002142692684448111,0.0220125786163522,-0.0159610674322338,-0.0004874513719562712,0.06060606060606061,0.0,0.0,0.0,-0.248441204039703,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=14,volume_mult=0.7,z_entry=1.8"
119,SUI,vwap_stretch_reversion,short,local_chop,8,5.0,0.0,0.0,10,0.018518518518518517,0.053024877736980836,9.568394492398546e-05,-0.0004874513719562712,0.0220125786163522,1,0.5,3.1805876323504996,0.0178861609413683,0.07050481668350117,0.0002142692684448111,0.0220125786163522,-0.0159610674322338,-0.0004874513719562712,0.06060606060606061,0.0,0.0,0.0,-0.248441204039703,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=14,volume_mult=0.7,z_entry=1.8"
120,SUI,vwap_stretch_reversion,short,local_chop,8,5.0,0.0,0.0,10,0.018518518518518517,0.053024877736980836,9.568394492398546e-05,-0.0004874513719562712,0.0220125786163522,1,0.5,3.1805876323504996,0.0178861609413683,0.07050481668350117,0.0002142692684448111,0.0220125786163522,-0.0159610674322338,-0.0004874513719562712,0.06060606060606061,0.0,0.0,0.0,-0.248441204039703,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=14,volume_mult=0.7,z_entry=1.8"
121,OP,vwap_stretch_reversion,short,market_chop,8,5.0,0.0,0.0,44,0.05092592592592592,-0.02280810408461642,-2.670361660228604e-05,-1.536627958487191e-05,0.03934426229508197,1,0.5,0.9537541621686575,0.13878843212460468,0.015913942705074957,4.51114275097364e-05,0.06857142857142857,-0.004675785601487403,-1.536627958487191e-05,0.03934426229508197,0.0,0.0,0.0,-0.24999929340374905,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
122,OP,vwap_stretch_reversion,short,market_chop,8,5.0,0.0,0.0,44,0.05092592592592592,-0.02280810408461642,-2.670361660228604e-05,-1.536627958487191e-05,0.03934426229508197,1,0.5,0.9537541621686575,0.13878843212460468,0.015913942705074957,4.51114275097364e-05,0.06857142857142857,-0.004675785601487403,-1.536627958487191e-05,0.03934426229508197,0.0,0.0,0.0,-0.24999929340374905,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
123,BCH,vwap_stretch_reversion,short,market_chop,3,5.0,0.0,0.0,38,0.03788634097706879,-0.05419467863611083,-5.555032390125447e-05,-0.00010643831139700577,0.03690036900369004,1,0.4473684210526316,0.7695233143623781,0.09328230454715958,-0.0009318765817253327,-2.7102028641312614e-06,0.04941860465116279,-0.028434234440255834,-0.00010643831139700577,0.03690036900369004,0.017622932831868665,0.000171283780574516,0.0392156862745098,-0.25047359159944155,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
124,BCH,vwap_stretch_reversion,short,market_chop,3,5.0,0.0,0.0,38,0.03788634097706879,-0.05419467863611083,-5.555032390125447e-05,-0.00010643831139700577,0.03690036900369004,1,0.4473684210526316,0.7695233143623781,0.09328230454715958,-0.0009318765817253327,-2.7102028641312614e-06,0.04941860465116279,-0.028434234440255834,-0.00010643831139700577,0.03690036900369004,0.017622932831868665,0.000171283780574516,0.0392156862745098,-0.25047359159944155,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
125,BNB,vwap_stretch_reversion,long,market_aligned,3,5.0,0.0,0.0,16,0.015625,-0.06578715998721152,-6.645383346204348e-05,-0.00015842581738512163,0.008130081300813009,1,0.1875,0.2138288691842909,0.0651742958520708,0.004496396576762374,1.8237231279805144e-05,0.008130081300813009,-0.03760819585984876,-0.00011867292815692654,0.02786377708978328,-0.016654226143117956,-0.00015842581738512163,0.018867924528301886,-0.2534736612967216,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
126,BNB,vwap_stretch_reversion,long,market_aligned,3,5.0,0.0,0.0,16,0.015625,-0.06578715998721152,-6.645383346204348e-05,-0.00015842581738512163,0.008130081300813009,1,0.1875,0.2138288691842909,0.0651742958520708,0.004496396576762374,1.8237231279805144e-05,0.008130081300813009,-0.03760819585984876,-0.00011867292815692654,0.02786377708978328,-0.016654226143117956,-0.00015842581738512163,0.018867924528301886,-0.2534736612967216,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
127,BCH,vwap_stretch_reversion,long,market_chop,8,5.0,0.0,0.0,42,0.03951081843838194,0.009820492314910778,9.193442707111643e-06,-0.00026770924410268737,0.03546099290780142,1,0.35714285714285715,1.0681193856436437,0.059186762103763835,-0.029266225978935245,-9.027867660915678e-05,0.0729483282674772,0.03409040715687639,0.0001269861175536846,0.03787878787878788,-0.03704833151374287,-0.00026770924410268737,0.03546099290780142,-0.2538620222383076,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=2.4"
