rank,scope,template,side,regime,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
1,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,24,0.031704095112285335,0.2926342425283437,0.0003391356767261655,0.00013295253165113152,0.03529411764705882,3,0.5416666666666666,2.3682153565251984,0.05041564106638152,0.15520226264750847,0.0006247641220251676,0.047619047619047616,0.04623798202788354,0.00013295253165113152,0.03529411764705882,0.06951564828613988,0.06951564828613988,1.0,0.4476845404660361,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
2,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,24,0.031704095112285335,0.2926342425283437,0.0003391356767261655,0.00013295253165113152,0.03529411764705882,3,0.5416666666666666,2.3682153565251984,0.05041564106638152,0.15520226264750847,0.0006247641220251676,0.047619047619047616,0.04623798202788354,0.00013295253165113152,0.03529411764705882,0.06951564828613988,0.06951564828613988,1.0,0.4476845404660361,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
3,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,22,0.02906208718626156,0.2839245025107153,0.0003302016708504052,0.00011306543911215883,0.029411764705882353,3,0.5,2.334380894192595,0.05041564106638152,0.15520226264750847,0.0006247641220251676,0.047619047619047616,0.03918845438872132,0.00011306543911215883,0.029411764705882353,0.06951564828613988,0.06951564828613988,1.0,0.4313430188930355,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
4,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,22,0.02906208718626156,0.2839245025107153,0.0003302016708504052,0.00011306543911215883,0.029411764705882353,3,0.5,2.334380894192595,0.05041564106638152,0.15520226264750847,0.0006247641220251676,0.047619047619047616,0.03918845438872132,0.00011306543911215883,0.029411764705882353,0.06951564828613988,0.06951564828613988,1.0,0.4313430188930355,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
5,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,18,0.023076923076923078,0.19027084851061993,0.0002233337622157272,0.00024290854663000516,0.03015075376884422,3,0.5,2.3716663577626615,0.06044213552627409,0.08369853494932888,0.00040399997822415656,0.03015075376884422,0.08134653242094214,0.00024290854663000516,0.031055900621118012,0.0157162931625745,0.0002643412226395192,0.03389830508474576,0.42054236902028586,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=2.4"
6,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,18,0.023076923076923078,0.19027084851061993,0.0002233337622157272,0.00024290854663000516,0.03015075376884422,3,0.5,2.3716663577626615,0.06044213552627409,0.08369853494932888,0.00040399997822415656,0.03015075376884422,0.08134653242094214,0.00024290854663000516,0.031055900621118012,0.0157162931625745,0.0002643412226395192,0.03389830508474576,0.42054236902028586,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=2.4"
7,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,17,0.021794871794871794,0.18953695881535926,0.00022254286304246307,0.0002409926674957763,0.027950310559006212,3,0.47058823529411764,2.367121099163171,0.06044213552627409,0.08369853494932888,0.00040399997822415656,0.03015075376884422,0.08067980259374141,0.0002409926674957763,0.027950310559006212,0.0157162931625745,0.0002643412226395192,0.03389830508474576,0.4188418148707754,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=2.4"
8,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,17,0.021794871794871794,0.18953695881535926,0.00022254286304246307,0.0002409926674957763,0.027950310559006212,3,0.47058823529411764,2.367121099163171,0.06044213552627409,0.08369853494932888,0.00040399997822415656,0.03015075376884422,0.08067980259374141,0.0002409926674957763,0.027950310559006212,0.0157162931625745,0.0002643412226395192,0.03389830508474576,0.4188418148707754,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=2.4"
9,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,33,0.03832752613240418,0.2607806579668146,0.000269178032503925,0.00014440045275443403,0.047058823529411764,3,0.5454545454545454,1.9618529771402453,0.07358444201805192,0.12701661381030993,0.0005177702589904687,0.05194805194805195,0.05031761565082693,0.00014440045275443403,0.047058823529411764,0.05091445142519779,0.0005985006116275837,0.04819277108433735,0.41012541087044824,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
10,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,33,0.03832752613240418,0.2607806579668146,0.000269178032503925,0.00014440045275443403,0.047058823529411764,3,0.5454545454545454,1.9618529771402453,0.07358444201805192,0.12701661381030993,0.0005177702589904687,0.05194805194805195,0.05031761565082693,0.00014440045275443403,0.047058823529411764,0.05091445142519779,0.0005985006116275837,0.04819277108433735,0.41012541087044824,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
11,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,29,0.03766233766233766,0.23185657357753642,0.0002708450365493942,0.00011555894977566261,0.03823529411764706,3,0.4827586206896552,1.87214292229703,0.07358444201805203,0.12701661381030993,0.0005177702589904687,0.05194805194805195,0.040069744517273076,0.00011555894977566261,0.03823529411764706,0.05091445142519779,0.0005985006116275837,0.04819277108433735,0.390449901572843,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
12,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,29,0.03766233766233766,0.23185657357753642,0.0002708450365493942,0.00011555894977566261,0.03823529411764706,3,0.4827586206896552,1.87214292229703,0.07358444201805203,0.12701661381030993,0.0005177702589904687,0.05194805194805195,0.040069744517273076,0.00011555894977566261,0.03823529411764706,0.05091445142519779,0.0005985006116275837,0.04819277108433735,0.390449901572843,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
