base,rule,template,side,regime,main_profit_pct,main_trades,losing_windows,profitable_windows
FET,FET:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,70.57176554172774,245,2,1
INJ,INJ:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,69.84220838804774,651,2,1
ALGO,ALGO:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,68.5327165130837,184,1,2
DOT,DOT:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,68.51314052947521,592,1,2
SAND,SAND:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,68.11909954806654,96,1,2
NEAR,NEAR:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,66.63191072387934,132,1,2
UNI,UNI:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,65.46166586305051,98,1,2
SAND,SAND:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,63.67458436718208,230,0,3
ARB,ARB:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,62.524573320901,119,1,2
ADA,ADA:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,62.38625314962772,674,1,2
MANA,MANA:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,62.08908658186441,149,1,2
1000PEPE,1000PEPE:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,61.45444697350465,131,2,1
1000PEPE,1000PEPE:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,61.33546892744329,135,2,1
RUNE,RUNE:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,61.09420048091492,130,1,2
MANA,MANA:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,59.43254894248851,106,0,3
ARB,ARB:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,58.224333116154895,264,1,2
MANA,MANA:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,57.69725611770858,163,1,2
SAND,SAND:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,55.75544940708926,94,1,2
1000SHIB,1000SHIB:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,54.35373575038155,86,0,3
ALGO,ALGO:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,53.91751186214038,129,2,1
SAND,SAND:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,53.47815089109298,279,1,2
1000PEPE,1000PEPE:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,52.615432731341,433,2,1
ATOM,ATOM:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,52.03820783086424,219,1,2
FET,FET:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,51.82063167029787,149,2,1
FIL,FIL:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,51.11587914478628,310,1,2
1000PEPE,1000PEPE:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,51.05918496485097,301,1,2
ADA,ADA:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,50.87278017981114,111,0,3
ADA,ADA:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,48.790924872447945,686,2,1
RUNE,RUNE:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,42.85559268636114,228,1,2
NEAR,NEAR:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,40.70358267371295,214,1,2
ADA,ADA:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,40.604146557999734,167,1,2
SAND,SAND:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,40.0934639485163,645,1,2
UNI,UNI:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,37.638220532198254,308,2,1
FIL,FIL:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,36.92526219029095,181,1,2
NEAR,NEAR:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,33.49515595443701,239,1,2
UNI,UNI:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,32.97564140249398,122,0,3
ATOM,ATOM:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,31.985536226390778,102,1,2
ICP,ICP:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,28.48699549652741,628,1,2
ICP,ICP:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,27.05752352551101,221,1,2
DOT,DOT:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,26.836792249013634,219,2,1
