rank,scope,template,side,regime,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
7,XTZ,panic_snapback,long,market_contra,24,4.0,0.0,0.0,123,0.1149532710280373,4.101609111351799,0.0015241098111582,0.0004399865164808,0.0306122448979591,3,0.6260162601626016,1.8132937881994504,0.3079018384750012,2.771501603541996,0.0037253342684904,0.2072829131652661,0.1447214305854312,0.0004476541915523,0.0960264900662251,0.0440518944764651,0.0004399865164808,0.0306122448979591,0.5663409111530565,"atr_ceiling=0.03,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.004,volume_z=0.8,wick_body=1.4"
47,SOL,panic_snapback,short,market_contra,24,4.0,0.0,0.0,264,0.247191011235955,3.9678948366404727,0.0015020597126267,0.0002726045352721,0.1594202898550724,3,0.5606060606060606,1.4335444869687406,0.6161986290825011,2.1881418938192696,0.0032348539441968,0.2841225626740947,0.5273535930851918,0.0012143084815732,0.2263610315186246,0.0383306706501802,0.0002726045352721,0.1594202898550724,0.1578859684207525,"atr_ceiling=0.03,atr_floor=0.002,range_mult=0.85,rsi_fast=28,shock=0.004,volume_z=0.8,wick_body=1.4"
63,SUI,rsi_reversion,short,local_chop,24,4.0,0.0,0.0,277,0.2564814814814815,3.892059509237966,0.0014710933889119,0.0002228394813343,0.2374301675977653,3,0.6137184115523465,1.4229698446815082,0.685211629443653,1.3400792802801351,0.0023448517874613,0.2782369146005509,0.0830353918685242,0.0002228394813343,0.2374301675977653,1.0322531783657314,0.0051519586684909,0.2463768115942029,0.1015346109671379,"atr_ceiling=0.014,atr_floor=0.0006,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
3,XRP,rsi_reversion,short,market_extreme,24,4.0,0.0,0.0,59,0.0578431372549019,1.7996748002211371,0.00100982646082,0.0007332710320326,0.0604229607250755,3,0.576271186440678,2.6411808000740296,0.2587004703447115,0.2745889927060567,0.0007332710320326,0.0604229607250755,0.4157608907724182,0.0010509056472891,0.0604229607250755,0.3820946071357407,0.0069088670689207,0.2127659574468085,0.748851921202027,"atr_ceiling=0.024,atr_floor=0.0006,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
25,LINK,panic_snapback,long,market_contra,24,4.0,0.0,0.0,156,0.1435142594296228,1.7241240829273132,0.000922363422088,0.0003613638292856,0.1496598639455782,3,0.5448717948717948,1.4146652428179294,0.3615114603678314,1.2227796415657526,0.0023382807039538,0.1520467836257309,0.1352078843037745,0.0003613638292856,0.1851851851851851,0.0782243430698517,0.0005124820311372,0.1496598639455782,0.3668429005355019,"atr_ceiling=0.03,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
29,AAVE,panic_snapback,long,market_contra,24,4.0,0.0,0.0,146,0.1349353049907578,1.7081839592364685,0.0009211987978479,0.0007265822862387,0.1441176470588235,3,0.5547945205479452,1.4079365933995078,0.5788607286325531,0.8763057093551188,0.001764313102623,0.1512605042016806,0.2801128960235863,0.0007265822862387,0.1441176470588235,0.3235338827469232,0.0022449589009516,0.184,0.3554679641134675,"atr_ceiling=0.03,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
37,COMP,rsi_reversion,long,market_extreme,24,4.0,0.0,0.0,54,0.0546006066734074,1.2778354049896508,0.000832728334007,0.0003323261996839,0.0574018126888217,3,0.6296296296296297,1.66643651061035,0.4047364427805178,0.1214623374226855,0.0003323261996839,0.0840579710144927,0.8388822863848129,0.001842050791037,0.0574018126888217,0.0511813105536933,0.0019216358817075,0.1538461538461538,0.2260583073336308,"atr_ceiling=0.024,atr_floor=0.0006,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
