window,strategy,pair,base,side,enter_tag,open_date,close_date,profit_abs,profit_ratio_pct,duration_min,leverage
2024,Intp20Stage12XtzCoreRocFilterStrategy,AAVE/USDT:USDT,AAVE,long,s9_01_aave_panic_l_mc_h24_l4,2024-03-20 04:41:00+00:00,2024-03-20 06:41:00+00:00,311.14646995,6.220138426853209,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XTZ/USDT:USDT,XTZ,long,s11_05_xtz_vstretch_l_mchop_h8m_l5,2024-03-20 08:43:00+00:00,2024-03-20 08:51:00+00:00,-3.51461235,-0.07025721876808802,8,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,ETC/USDT:USDT,ETC,long,s10_02_etc_maoff_l_mchop_h18m_l5,2024-03-20 08:59:00+00:00,2024-03-20 09:17:00+00:00,39.46863012,0.7889866476540988,18,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,APT/USDT:USDT,APT,long,s11_01_apt_vstretch_l_ma_h12m_l5,2024-03-20 12:46:00+00:00,2024-03-20 12:58:00+00:00,-135.803745,-2.714828838352442,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SUI/USDT:USDT,SUI,long,s9_25_sui_vwap_l_lc_h18_l5,2024-03-20 14:11:00+00:00,2024-03-20 15:41:00+00:00,-514.30018365,-10.280922377244824,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,APT/USDT:USDT,APT,long,s11_01_apt_vstretch_l_ma_h12m_l5,2024-03-20 23:22:00+00:00,2024-03-20 23:34:00+00:00,-47.4895456,-0.9493164057636885,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,DOGE/USDT:USDT,DOGE,short,s11_04_doge_vstretch_s_mchop_h12m_l5,2024-03-21 08:06:00+00:00,2024-03-21 08:18:00+00:00,-108.50323806,-2.1711549148996685,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,long,s9_11_mkr_micro_l_mchop_h18_l5,2024-03-21 12:16:00+00:00,2024-03-21 13:46:00+00:00,356.995812,7.137177120461328,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,long,s10_07_ltc_maoff_l_mc_h3m_l5,2024-03-22 01:53:00+00:00,2024-03-22 01:56:00+00:00,19.24651166,0.384738571571256,3,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2024-03-23 03:21:00+00:00,2024-03-23 03:33:00+00:00,-150.25051575,-3.0035479071972246,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SOL/USDT:USDT,SOL,short,s9_02_sol_panic_s_mc_h24_l4,2024-03-23 07:26:00+00:00,2024-03-23 09:26:00+00:00,155.012835,3.1020205575131743,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SUI/USDT:USDT,SUI,long,s9_25_sui_vwap_l_lc_h18_l5,2024-03-23 08:41:00+00:00,2024-03-23 10:11:00+00:00,-235.6674096,-4.710993449411126,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,DOGE/USDT:USDT,DOGE,long,s10_04_doge_maoff_l_ma_h12m_l5,2024-03-23 10:39:00+00:00,2024-03-23 10:51:00+00:00,135.55191948,2.709691737598395,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,DOGE/USDT:USDT,DOGE,long,s10_04_doge_maoff_l_ma_h12m_l5,2024-03-24 09:43:00+00:00,2024-03-24 09:55:00+00:00,-1.923519,-0.03845119287398148,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,long,s9_11_mkr_micro_l_mchop_h18_l5,2024-03-25 02:31:00+00:00,2024-03-25 04:01:00+00:00,212.6759526,4.251401858126055,90,5.0
