rank,scope,template,side,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
1,DOGE,mean_reversion,long,24,4.0,0.0,0.0,56,0.056112224448897796,8.623705307831932,0.002271342490483663,0.0007845444514895661,0.05572755417956656,3,0.6428571428571429,3.524596191521396,0.26665968566991605,3.577217072629149,0.004269849570263773,0.0784313725490196,0.7517333247740197,0.001737128638879204,0.05572755417956656,0.058089637868006694,0.0007845444514895661,0.06944444444444445,0.9681918847280608,"atr_floor=0.0025,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
2,DOGE,mean_reversion,long,24,4.0,0.0,0.0,56,0.056112224448897796,8.623705307831932,0.002271342490483663,0.0007845444514895661,0.05572755417956656,3,0.6428571428571429,3.524596191521396,0.26665968566991605,3.577217072629149,0.004269849570263773,0.0784313725490196,0.7517333247740197,0.001737128638879204,0.05572755417956656,0.058089637868006694,0.0007845444514895661,0.06944444444444445,0.9681918847280608,"atr_floor=0.0045,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
3,ETH,squeeze_breakout,short,24,4.0,0.0,0.0,626,0.5748393021120294,2.378986819125486,0.0011186931376490072,0.0014930259438281634,0.6223776223776224,3,0.44568690095846647,1.1931019866855543,0.6994671969839481,0.7135725615794795,0.0014930259438281634,0.6731301939058172,1.2717937796933585,0.0022693382711365118,0.6270718232044199,0.9849188043742818,0.004805762622225762,0.6223776223776224,0.9488341766482679,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
4,DOGE,mean_reversion,long,24,4.0,0.0,0.0,76,0.0728667305848514,8.879595586181852,0.0021984548475628696,0.0006272595058962604,0.07120743034055728,3,0.618421052631579,2.8013890480676604,0.31529518527440636,3.0431611380772265,0.003920907187574985,0.09523809523809523,1.096047056082234,0.0022938132025740465,0.07120743034055728,0.07612470807632321,0.0006272595058962604,0.08547008547008547,0.8477584596748273,"atr_floor=0.0025,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
5,DOGE,mean_reversion,long,24,4.0,0.0,0.0,71,0.06807286673058485,9.562168947407537,0.0022626505218250603,1.173317731550938e-05,0.06811145510835913,3,0.6338028169014085,3.0205316921312293,0.31529518527440625,3.211904750626122,0.004035895433053049,0.09243697478991597,1.119615327507407,0.002328510565862807,0.06811145510835913,0.0013737163775426886,1.173317731550938e-05,0.06837606837606838,0.5944001262858798,"atr_floor=0.0045,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
6,COMP,mean_reversion,short,12,4.0,0.0,0.0,64,0.06066350710900474,0.4835648099038825,0.00037395411853879956,0.0004102651131114854,0.04986149584487535,3,0.484375,1.4136669543658449,0.2530122231723819,0.33832965441959906,0.000807589941497211,0.04986149584487535,0.1596002490506334,0.0004102651131114854,0.07756232686980609,0.15816555058307524,0.0014994631891283028,0.10204081632653061,0.3823063989768617,"atr_floor=0.0025,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
7,COMP,mean_reversion,short,12,4.0,0.0,0.0,59,0.055924170616113746,0.45233912840603296,0.00035378337097879964,0.0003914049604425429,0.04986149584487535,3,0.4915254237288136,1.4098484526049406,0.2530122231723819,0.33832965441959906,0.000807589941497211,0.04986149584487535,0.1517350514054352,0.0003914049604425429,0.06925207756232687,0.1415314296397423,0.0013516342704251727,0.08163265306122448,0.35898566603868265,"atr_floor=0.0045,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
8,BNB,mean_reversion,short,3,4.0,0.0,0.0,24,0.024615384615384615,0.08988334972218892,8.82815087990263e-05,3.869575584203311e-05,0.03278688524590164,3,0.625,1.6281025818107018,0.05774458412651329,0.04102021011064316,0.00021970283919792166,0.03278688524590164,0.012537738920822994,3.869575584203311e-05,0.037267080745341616,0.0413265453243965,0.0010950700900864696,0.13513513513513514,0.3114627353125491,"atr_floor=0.0025,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
9,TRX,wick_reversal,short,24,4.0,0.0,0.0,120,0.11352885525070956,0.45642254281022,0.00035577104411932403,0.0003033114694919181,0.046296296296296294,3,0.525,1.2682799968340415,0.2836491585967509,0.11231806369575836,0.0003033114694919181,0.10256410256410256,0.3969333542188369,0.0009983468907910353,0.1791044776119403,0.06003198449069291,0.0005399520338371655,0.046296296296296294,0.23617399957597754,"atr_ceiling=0.02,atr_floor=0.002,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
10,COMP,mean_reversion,short,6,4.0,0.0,0.0,64,0.06066350710900474,0.13411341321554682,0.00011929736366655952,0.00037550944666175923,0.04986149584487535,3,0.515625,1.1929248606368668,0.28070183442297403,0.16170723479229032,0.00041529584380795015,0.04986149584487535,0.14514751731323328,0.00037550944666175923,0.07756232686980609,0.11047539167974718,0.001069839262337835,0.10204081632653061,0.23287985034032974,"atr_floor=0.0025,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
11,LTC,mean_reversion,long,12,4.0,0.0,0.0,37,0.0354066985645933,2.684618095629773,0.0012487856706226985,-5.954208373903924e-05,0.0273972602739726,2,0.5405405405405406,4.108473118503419,0.1764990702271425,0.1129442817835693,0.0003075444365494562,0.05172413793103448,-0.016592624133206835,-5.954208373903924e-05,0.03558718861209965,0.015188888154595626,0.0002065239516826356,0.0273972602739726,0.23193593573214835,"atr_floor=0.0025,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
12,LTC,mean_reversion,long,12,4.0,0.0,0.0,37,0.0354066985645933,2.684618095629773,0.0012487856706226985,-5.954208373903924e-05,0.0273972602739726,2,0.5405405405405406,4.108473118503419,0.1764990702271425,0.1129442817835693,0.0003075444365494562,0.05172413793103448,-0.016592624133206835,-5.954208373903924e-05,0.03558718861209965,0.015188888154595626,0.0002065239516826356,0.0273972602739726,0.23193593573214835,"atr_floor=0.0045,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
13,COMP,mean_reversion,short,12,4.0,0.0,0.0,45,0.04265402843601896,0.26533977760013316,0.00022309662169339717,0.00030997964207157835,0.04827586206896552,3,0.4888888888888889,1.341104424685714,0.272267804908237,0.0940431727280231,0.00030997964207157835,0.04827586206896552,0.3872507287514082,0.000932981667832733,0.05413105413105413,0.07715862962194975,0.0007745360038680094,0.0625,0.22641444048956874,"atr_floor=0.0025,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
14,COMP,mean_reversion,short,12,4.0,0.0,0.0,45,0.04265402843601896,0.26533977760013316,0.00022309662169339717,0.00030997964207157835,0.04827586206896552,3,0.4888888888888889,1.341104424685714,0.272267804908237,0.0940431727280231,0.00030997964207157835,0.04827586206896552,0.3872507287514082,0.000932981667832733,0.05413105413105413,0.07715862962194975,0.0007745360038680094,0.0625,0.22641444048956874,"atr_floor=0.0045,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
15,OP,vwap_reclaim,short,12,4.0,0.0,0.0,199,0.18357933579335795,0.909067859954583,0.0005966863334962991,0.000603056845106531,0.1652892561983471,3,0.5326633165829145,1.2452562692489406,0.5877236474554806,0.4750603887119671,0.0010713694583317501,0.1652892561983471,0.24163884165221083,0.000603056845106531,0.19220055710306408,0.8327552283928707,0.004305842365264878,0.20567375886524822,0.19218825507822315,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
16,OP,vwap_reclaim,short,12,4.0,0.0,0.0,199,0.18357933579335795,0.909067859954583,0.0005966863334962991,0.000603056845106531,0.1652892561983471,3,0.5326633165829145,1.2452562692489406,0.5877236474554806,0.4750603887119671,0.0010713694583317501,0.1652892561983471,0.24163884165221083,0.000603056845106531,0.19220055710306408,0.8327552283928707,0.004305842365264878,0.20567375886524822,0.19218825507822315,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
17,LTC,mean_reversion,short,24,4.0,0.0,0.0,27,0.027327935222672066,0.4704218841979788,0.0003903082918317313,3.0184607251015905e-05,0.025179856115107913,3,0.48148148148148145,1.7600214283138929,0.23003667729490418,0.008426498924410053,3.0184607251015905e-05,0.025179856115107913,0.19479766258423048,0.0005742837120881195,0.04516129032258064,0.18542791495797606,0.0043711621667366085,0.10256410256410256,0.17230702667411474,"atr_floor=0.0025,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
18,LTC,mean_reversion,short,24,4.0,0.0,0.0,27,0.027327935222672066,0.4704218841979788,0.0003903082918317313,3.0184607251015905e-05,0.025179856115107913,3,0.48148148148148145,1.7600214283138929,0.23003667729490418,0.008426498924410053,3.0184607251015905e-05,0.025179856115107913,0.19479766258423048,0.0005742837120881195,0.04516129032258064,0.18542791495797606,0.0043711621667366085,0.10256410256410256,0.17230702667411474,"atr_floor=0.0045,band_pad=0.998,bb_width=0.022,rsi_long=42,rsi_short=58,volume_mult=0.6"
19,COMP,mean_reversion,short,6,4.0,0.0,0.0,59,0.055924170616113746,0.06835055245443766,6.267108158586332e-05,0.00018734312808654785,0.04986149584487535,3,0.5084745762711864,1.142357593902056,0.28070183442297403,0.16170723479229032,0.00041529584380795015,0.04986149584487535,0.0699634991425504,0.00018734312808654785,0.06925207756232687,0.11958921044166626,0.0011533364349602948,0.08163265306122448,0.12288079647408742,"atr_floor=0.0045,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
20,APT,vwap_reclaim,short,6,4.0,0.0,0.0,246,0.22631094756209752,0.16194451669701748,0.00013809132690401071,0.00053299294713538,0.21606648199445982,3,0.45934959349593496,1.1128671503333234,0.46930290367824956,0.36467133464829504,0.0008712858454471561,0.25770308123249297,0.278413073396786,0.0006806180038996246,0.21606648199445982,0.08032658478357213,0.00053299294713538,0.25517241379310346,0.10014461592486229,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
21,LTC,mean_reversion,long,12,4.0,0.0,0.0,53,0.05042816365366318,1.6868198070708091,0.0009408402827209006,-8.138823857739563e-05,0.03937007874015748,2,0.5094339622641509,2.3707017091009397,0.20650991869152846,-0.027926888415959694,-8.138823857739563e-05,0.06321839080459771,0.040996088157127186,0.0001339357414293918,0.043333333333333335,0.025843337385258014,0.00020092602925325664,0.03937007874015748,0.09738158745306544,"atr_floor=0.0045,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
22,ETH,squeeze_breakout,short,24,4.0,0.0,0.0,730,0.6703397612488522,1.1231315191708333,0.0006916000464640693,0.0006235120079820522,0.6805555555555556,3,0.43424657534246575,1.1518214700900178,0.7988387388102555,0.25234487192137056,0.0006235120079820522,0.7562326869806094,1.7579901576346018,0.00280642294731126,0.6933701657458563,0.9123407143197946,0.004512428234503041,0.6805555555555556,0.09364317553828247,"atr_ceiling=0.018,atr_floor=0.0015,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
23,APT,vwap_reclaim,short,6,4.0,0.0,0.0,247,0.22723091076356947,0.15159793910885844,0.0001298616881204584,0.00053299294713538,0.21606648199445982,3,0.4574898785425101,1.1103168520060032,0.47402851544714275,0.36467133464829504,0.0008712858454471561,0.25770308123249297,0.278413073396786,0.0006806180038996246,0.21606648199445982,0.08032658478357213,0.00053299294713538,0.25517241379310346,0.09194710180237314,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
24,LTC,mean_reversion,long,12,4.0,0.0,0.0,60,0.056657223796033995,1.7928718862506532,0.0009703197631192317,-0.00014385248298909303,0.03937007874015748,2,0.5166666666666667,2.266675712985626,0.21822999783914598,-0.048831704390042474,-0.00014385248298909303,0.07758620689655173,0.05906460262697122,0.00017444095221352818,0.0425531914893617,0.025843337385258014,0.00020092602925325664,0.03937007874015748,0.055003920560846964,"atr_floor=0.0025,band_pad=0.998,bb_width=0.012,rsi_long=42,rsi_short=58,volume_mult=0.6"
