rank,scope,template,side,regime,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
1,XTZ,vwap_stretch_reversion,long,market_chop,8,5.0,0.0,0.0,9,0.010101010101010102,0.1695061994859004,0.00017575237642097896,0.0003808693168556587,0.031088082901554404,3,0.7777777777777778,17.122549848546054,0.0050000000000001155,0.009436958614052582,0.009436958614052582,1.0,0.07626184583025641,0.0003808693168556587,0.031088082901554404,0.07596590909090972,0.07596590909090972,1.0,0.5222399867321046,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
2,XTZ,vwap_stretch_reversion,long,market_chop,8,5.0,0.0,0.0,9,0.010101010101010102,0.1695061994859004,0.00017575237642097896,0.0003808693168556587,0.031088082901554404,3,0.7777777777777778,17.122549848546054,0.0050000000000001155,0.009436958614052582,0.009436958614052582,1.0,0.07626184583025641,0.0003808693168556587,0.031088082901554404,0.07596590909090972,0.07596590909090972,1.0,0.5222399867321046,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
3,XTZ,vwap_stretch_reversion,long,market_chop,8,5.0,0.0,0.0,12,0.011461318051575931,0.15266250662750824,0.0001357059498459101,0.00020629007443284664,0.02108433734939759,3,0.6666666666666666,6.558389135580634,0.011410256410256392,0.009436958614052582,0.009436958614052582,1.0,0.07088053660110516,0.00020629007443284664,0.02108433734939759,0.07596590909090972,0.07596590909090972,1.0,0.43668473318205625,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
4,XTZ,vwap_stretch_reversion,long,market_chop,8,5.0,0.0,0.0,12,0.011461318051575931,0.15266250662750824,0.0001357059498459101,0.00020629007443284664,0.02108433734939759,3,0.6666666666666666,6.558389135580634,0.011410256410256392,0.009436958614052582,0.009436958614052582,1.0,0.07088053660110516,0.00020629007443284664,0.02108433734939759,0.07596590909090972,0.07596590909090972,1.0,0.43668473318205625,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
5,ETC,vwap_stretch_reversion,long,market_chop,12,5.0,0.0,0.0,16,0.02069857697283312,0.1742829602254985,0.00020785822915780905,0.0002021993622660645,0.025,3,0.8125,3.6595318343428684,0.0432795367983686,0.12175617655250459,0.0003430303797811174,0.03283582089552239,0.03287753219698453,0.0002021993622660645,0.025,0.01350398115958229,0.01350398115958229,1.0,0.4197307199903302,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
6,ETC,vwap_stretch_reversion,long,market_chop,12,5.0,0.0,0.0,16,0.02069857697283312,0.1742829602254985,0.00020785822915780905,0.0002021993622660645,0.025,3,0.8125,3.6595318343428684,0.0432795367983686,0.12175617655250459,0.0003430303797811174,0.03283582089552239,0.03287753219698453,0.0002021993622660645,0.025,0.01350398115958229,0.01350398115958229,1.0,0.4197307199903302,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
7,ETC,vwap_stretch_reversion,long,market_chop,12,5.0,0.0,0.0,25,0.02577319587628866,0.15349230069389996,0.0001472212729727307,0.00020621404946719046,0.01845018450184502,3,0.72,2.073943410803912,0.04522416856416889,0.1456755311166309,0.0004060359820705628,0.04776119402985075,0.05746892500013523,0.00020621404946719046,0.01845018450184502,0.01350398115958229,0.01350398115958229,1.0,0.39955055380286075,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=14,volume_mult=0.7,z_entry=2.4"
8,ETC,vwap_stretch_reversion,long,market_chop,12,5.0,0.0,0.0,25,0.02577319587628866,0.15349230069389996,0.0001472212729727307,0.00020621404946719046,0.01845018450184502,3,0.72,2.073943410803912,0.04522416856416889,0.1456755311166309,0.0004060359820705628,0.04776119402985075,0.05746892500013523,0.00020621404946719046,0.01845018450184502,0.01350398115958229,0.01350398115958229,1.0,0.39955055380286075,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=14,volume_mult=0.7,z_entry=2.4"
9,ETC,vwap_stretch_reversion,long,market_chop,12,5.0,0.0,0.0,25,0.02615062761506276,0.20597107880067922,0.00019592412464519704,0.00015131722546346538,0.041791044776119404,3,0.72,3.008901575638091,0.04327953679836838,0.13729923144589606,0.000384122581377655,0.041791044776119404,0.0646181618155397,0.00037278495136994216,0.047619047619047616,0.006527359420677614,0.00015131722546346538,0.046511627906976744,0.3994954437788505,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
10,ETC,vwap_stretch_reversion,long,market_chop,12,5.0,0.0,0.0,25,0.02615062761506276,0.20597107880067922,0.00019592412464519704,0.00015131722546346538,0.041791044776119404,3,0.72,3.008901575638091,0.04327953679836838,0.13729923144589606,0.000384122581377655,0.041791044776119404,0.0646181618155397,0.00037278495136994216,0.047619047619047616,0.006527359420677614,0.00015131722546346538,0.046511627906976744,0.3994954437788505,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
