rank,scope,template,side,regime,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params,source_file,candidate_key
2,XTZ,vwap_stretch_reversion,long,market_chop,8,5.0,0.0,0.0,9,0.0101010101010101,0.1695061994859004,0.0001757523764209,0.0003808693168556,0.0310880829015544,3,0.7777777777777778,17.122549848546054,0.0050000000000001,0.0094369586140525,0.0094369586140525,1.0,0.0762618458302564,0.0003808693168556,0.0310880829015544,0.0759659090909097,0.0759659090909097,1.0,0.5222399867321046,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8",stage11_1m_vwap_stretch_g4.csv,"XTZ|vwap_stretch_reversion|long|market_chop|8|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
2,APT,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,24,0.0317040951122853,0.2926342425283437,0.0003391356767261,0.0001329525316511,0.0352941176470588,3,0.5416666666666666,2.3682153565251984,0.0504156410663815,0.1552022626475084,0.0006247641220251,0.0476190476190476,0.0462379820278835,0.0001329525316511,0.0352941176470588,0.0695156482861398,0.0695156482861398,1.0,0.4476845404660361,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8",stage11_1m_vwap_stretch_g3.csv,"APT|vwap_stretch_reversion|long|market_aligned|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
13,APT,vwap_stretch_reversion,long,market_chop,8,5.0,0.0,0.0,27,0.0312862108922363,0.1423444411293013,0.0001542212511935,0.0001704978222529,0.0196078431372549,3,0.5925925925925926,1.8450363893747967,0.0854058493478426,0.0627528120085549,0.0001704978222529,0.0196078431372549,0.094379606087928,0.0002809978305162,0.0529595015576324,0.0115480732576793,0.0002087836685846,0.0363636363636363,0.337642140539385,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=2.4",stage11_1m_vwap_stretch_g3.csv,"APT|vwap_stretch_reversion|long|market_chop|8|0.0|0.0|atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=2.4"
6,ETC,vwap_stretch_reversion,long,market_chop,12,5.0,0.0,0.0,16,0.0206985769728331,0.1742829602254985,0.0002078582291578,0.000202199362266,0.025,3,0.8125,3.659531834342869,0.0432795367983686,0.1217561765525045,0.0003430303797811,0.0328358208955223,0.0328775321969845,0.000202199362266,0.025,0.0135039811595822,0.0135039811595822,1.0,0.4197307199903302,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4",stage11_1m_vwap_stretch_g4.csv,"ETC|vwap_stretch_reversion|long|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=2.4"
14,SOL,vwap_stretch_reversion,long,market_chop,12,5.0,0.0,0.0,35,0.0363447559709241,0.1049806880948136,0.0001036687771611,0.0001188353116092,0.0381944444444444,3,0.6285714285714286,1.3721631196423154,0.0937884514623285,0.0313775597556482,0.0001188353116092,0.0423076923076923,0.0749754624520542,0.0002510656634215,0.0381944444444444,0.0682433077244335,0.0682433077244335,2.0,0.3138810461928479,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8",stage11_1m_vwap_stretch_g1.csv,"SOL|vwap_stretch_reversion|long|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
6,DOGE,vwap_stretch_reversion,short,market_chop,12,5.0,0.0,0.0,32,0.031465093411996,0.2122160688221011,0.0001892510879932,0.0002218725885045,0.028169014084507,3,0.625,2.04646402137371,0.0775685004729039,0.090683314924352,0.0003014495734978,0.0520833333333333,0.0558569950011755,0.0002218725885045,0.0489795918367346,0.0181341184408894,0.0002531539598233,0.028169014084507,0.3830221192259767,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8",stage11_1m_vwap_stretch_g1.csv,"DOGE|vwap_stretch_reversion|short|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
20,ETC,vwap_stretch_reversion,long,market_chop,12,5.0,0.0,0.0,20,0.0206185567010309,0.1121117639252817,0.000109553111746,0.0001599305247192,0.014760147601476,3,0.7,1.872757618216925,0.0432795367983683,0.106876370658105,0.0003224074156502,0.0412698412698412,0.0442904992909329,0.0001599305247192,0.014760147601476,0.0135039811595822,0.0135039811595822,1.0,0.3734033569546546,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=2.4",stage11_1m_vwap_stretch_g4.csv,"ETC|vwap_stretch_reversion|long|market_chop|12|0.0|0.0|atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=2.4"
