date,profit,exit_reason,raw_profit,pair,candidate_id,template,side,regime,hold
2024-08-17 02:15:00+00:00,0.002030670429674031,fixed_hold,0.01624536343739225,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-08-20 08:05:00+00:00,0.004890086685930217,fixed_hold,0.03912069348744174,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-08-27 00:20:00+00:00,-0.010697710718002074,fixed_hold,-0.08558168574401659,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-08-27 16:05:00+00:00,-0.0008811390613089327,fixed_hold,-0.007049112490471462,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-08-27 21:50:00+00:00,-0.008838748104829985,fixed_hold,-0.07070998483863988,COMP,5min:COMP:rsi_reversion:long:market_extreme:h24:#7,rsi_reversion,long,market_extreme,24
2024-08-28 16:20:00+00:00,0.005341383958660961,fixed_hold,0.04273107166928769,COMP,5min:COMP:rsi_reversion:long:market_extreme:h24:#7,rsi_reversion,long,market_extreme,24
2024-08-28 16:25:00+00:00,0.003525944978751972,fixed_hold,0.028207559830015775,COMP,5min:COMP:rsi_reversion:long:market_extreme:h24:#7,rsi_reversion,long,market_extreme,24
2024-09-01 14:15:00+00:00,0.003369749882019824,fixed_hold,0.02695799905615859,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-09-01 22:25:00+00:00,-0.0034537249753855965,fixed_hold,-0.027629799803084772,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-09-02 10:05:00+00:00,-0.0010005612353244926,fixed_hold,-0.00800448988259594,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-09-04 01:05:00+00:00,0.011892755004766442,fixed_hold,0.09514204003813154,COMP,5min:COMP:rsi_reversion:long:market_extreme:h24:#7,rsi_reversion,long,market_extreme,24
2024-09-04 07:50:00+00:00,0.006320499745028074,fixed_hold,0.050563997960224594,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-09-08 00:05:00+00:00,0.0033685803991926892,fixed_hold,0.026948643193541514,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-09-08 17:20:00+00:00,0.0003014533019876646,fixed_hold,0.002411626415901317,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-09-09 08:10:00+00:00,-0.004194046066927415,fixed_hold,-0.03355236853541932,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-09-09 08:15:00+00:00,-0.004842633807404184,fixed_hold,-0.03874107045923347,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-09-09 17:10:00+00:00,-0.0030872010303874538,fixed_hold,-0.02469760824309963,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-09-13 03:10:00+00:00,8.394160583929987e-05,fixed_hold,0.000671532846714399,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-09-15 23:15:00+00:00,-0.012580490182425852,fixed_hold,-0.10064392145940682,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-09-16 23:50:00+00:00,0.0026404000386511255,fixed_hold,0.021123200309209004,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-09-20 06:45:00+00:00,-0.0008546898618366767,fixed_hold,-0.006837518894693414,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-09-21 00:45:00+00:00,0.00436980651276514,fixed_hold,0.03495845210212112,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-09-21 06:15:00+00:00,-0.0029612272420769243,fixed_hold,-0.023689817936615395,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-09-21 18:25:00+00:00,0.0018635872501350796,fixed_hold,0.014908698001080637,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-09-26 00:55:00+00:00,0.0059469914040115035,fixed_hold,0.04757593123209203,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-09-26 10:40:00+00:00,-0.0017697664676929454,fixed_hold,-0.014158131741543564,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
